group,rank,team,matches_played,wins,draws,losses,goals_scored,goals_against,goal_difference,points,expected_goal_scored,exp_goal_conceded,exp_goal_difference,exp_goal_difference_per_90
1,1,Netherlands,3,2,1,0,5,1,4,7,2.4,2.7,-0.3,-0.11
1,2,Senegal,3,2,0,1,5,4,1,6,3.8,2.5,1.3,0.43
1,3,Ecuador,3,1,1,1,4,3,1,4,3.7,2.6,1.2,0.39
1,4,Qatar,3,0,0,3,1,7,-6,0,1.4,3.5,-2.1,-0.71
2,1,England,3,2,1,0,9,2,7,7,5.2,2.3,2.9,0.97
2,2,United States,3,1,2,0,2,1,1,5,2.6,2.7,-0.1,-0.03
2,3,IR Iran,3,1,0,2,4,7,-3,3,3.2,4.2,-0.9,-0.32
2,4,Wales,3,0,1,2,1,6,-5,1,2.7,4.6,-1.9,-0.63
3,1,Argentina,3,2,0,1,5,2,3,6,6,0.7,5.2,1.74
3,2,Poland,3,1,1,1,2,2,0,4,2.8,5.9,-3.1,-1.04
3,3,Mexico,3,1,1,1,2,3,-1,4,3.3,2.4,0.9,0.3
3,4,Saudi Arabia,3,1,0,2,3,5,-2,3,3,6,-3,-1.01
4,1,France,3,2,0,1,6,3,3,6,7.2,1.6,5.5,1.85
4,2,Australia,3,2,0,1,3,4,-1,6,1.7,5.6,-3.9,-1.29
4,3,Tunisia,3,1,1,1,1,1,0,4,2.3,2.8,-0.5,-0.17
4,4,Denmark,3,0,1,2,1,3,-2,1,2.7,3.9,-1.2,-0.39
5,1,Japan,3,2,0,1,4,3,1,6,3.8,4.2,-0.4,-0.14
5,2,Spain,3,1,1,1,9,3,6,4,5.2,2.7,2.5,0.82
5,3,Germany,3,1,1,1,6,5,1,4,10.1,3.4,6.7,2.22
5,4,Costa Rica,3,1,0,2,3,11,-8,3,1.4,10.1,-8.7,-2.9
6,1,Morocco,3,2,1,0,4,1,3,7,2.4,2.8,-0.5,-0.15
6,2,Croatia,3,1,2,0,4,1,3,5,3.8,3.8,0,-0.01
6,3,Belgium,3,1,1,1,1,2,-1,4,4.7,4.6,0.2,0.05
6,4,Canada,3,0,0,3,2,7,-5,0,4.2,3.9,0.3,0.11
7,1,Brazil,3,2,0,1,3,1,2,6,5.9,0.9,4.9,1.65
7,2,Switzerland,3,2,0,1,4,3,1,6,4.4,3.1,1.4,0.45
7,3,Cameroon,3,1,1,1,4,4,0,4,3.4,5.8,-2.3,-0.78
7,4,Serbia,3,0,1,2,5,8,-3,1,3.4,7.3,-3.9,-1.32
8,1,Portugal,3,2,0,1,6,4,2,6,4.6,3.9,0.7,0.24
8,2,Korea Republic,3,1,1,1,4,4,0,4,4.1,3.5,0.6,0.19
8,3,Uruguay,3,1,1,1,2,2,0,4,3.7,3.5,0.1,0.05
8,4,Ghana,3,1,0,2,5,7,-2,3,4.1,5.6,-1.4,-0.48
